log,backbone,batch_size,embedding_size,epochs,freeze_layers,grad_clip,hidden_size,lr,n_layers,rnn_type,strategy,weight_decay,n_runs,total_params,trainable_params,mt_score_mean,mt_score_std,mt_score_2task_mean,mt_score_2task_std,test_next_activity_acc_mean,test_next_activity_acc_std,test_next_activity_loss_mean,test_next_activity_loss_std,test_next_remaining_time_loss_mean,test_next_remaining_time_loss_std,test_next_time_to_next_event_loss_mean,test_next_time_to_next_event_loss_std,best_test_next_activity_acc_mean,best_test_next_activity_acc_std,best_test_next_activity_loss_mean,best_test_next_activity_loss_std,best_test_next_remaining_time_loss_mean,best_test_next_remaining_time_loss_std,best_test_next_time_to_next_event_loss_mean,best_test_next_time_to_next_event_loss_std,selection_score,Dataset,Backbone_pretty,test_next_activity_acc_mean_std,test_next_activity_loss_mean_std,test_next_remaining_time_loss_mean_std,test_next_time_to_next_event_loss_mean_std,best_test_next_activity_acc_mean_std,best_test_next_activity_loss_mean_std,best_test_next_remaining_time_loss_mean_std,best_test_next_time_to_next_event_loss_mean_std,Runtime (h),Setting,lora_alpha,r,few_shot_k
BPI20RequestForPayment,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315696661.0,120853.0,2.058836887095869,0.1050005464708605,1.9268128136083813,0.0408556055463131,0.1183922738247408,0.0610436650625988,2.8075453977255704,0.2552043131037732,1.2951350141394429,0.2478919694991069,1.211118402197997,0.474438164184979,0.127822752449936,0.0554430023397247,2.790069901247354,0.2186748598303688,1.240058598696483,0.2298901970271157,1.176533592859633,0.4342507665734034,,BPI20RfP,GPT-Neo-1.3B,0.1184 ± 0.061,2.8075 ± 0.2552,1.2951 ± 0.2479,1.2111 ± 0.4744,0.1278 ± 0.0554,2.7901 ± 0.2187,1.2401 ± 0.2299,1.1765 ± 0.4343,0.01298 ± 0.00005,FewShot-Freezing,,,8.0
BPI20RequestForPayment,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1366028309.0,50452501.0,2.0672593460785604,0.0961119997091599,1.944199479116255,0.0239694419069853,0.1103536429484448,0.0872780883159196,2.688846731924093,0.1828166749934717,1.231855803818683,0.3625424806609713,0.9865388841253844,0.0625705982725731,0.2190313875869904,0.043729766067516,2.612151610053851,0.1199734665818639,0.9963180036914568,0.1343273286550429,0.9553746813045544,0.0486072901025163,,BPI20RfP,GPT-Neo-1.3B,0.1104 ± 0.0873,2.6888 ± 0.1828,1.2319 ± 0.3625,0.9865 ± 0.0626,0.219 ± 0.0437,2.6122 ± 0.12,0.9963 ± 0.1343,0.9554 ± 0.0486,0.01466 ± 0.00005,FewShot-LoRA,512.0,256.0,8.0
BPI20RequestForPayment,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315696661.0,120853.0,2.9697829946239827,0.013270748268213,1.9884716230687087,0.0019893284146168,0.87998863797756,0.0103425223778653,0.3294836195604552,0.0318824192253632,0.694392125150423,0.0263126978612994,0.7537935220523071,0.0105371192422652,0.8843346115608579,0.0063813461582825,0.3202830790728436,0.0297285238590423,0.6810176546237394,0.0151397443108089,0.7485829874731367,0.0077141909130164,,BPI20RfP,GPT-Neo-1.3B,0.88 ± 0.0103,0.3295 ± 0.0319,0.6944 ± 0.0263,0.7538 ± 0.0105,0.8843 ± 0.0064,0.3203 ± 0.0297,0.681 ± 0.0151,0.7486 ± 0.0077,0.08665 ± 0.00034,Freezing,,,
BPI20RequestForPayment,gptneo-1b3,8.0,2048.0,10.0,"-1,-2",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315696661.0,100825109.0,2.9721253776578336,0.0128081487651088,1.989832061218176,0.0016762547094705,0.8808691947166596,0.011393667761686,0.3170174931619777,0.0482990086836885,0.6717539825691382,0.0147094191672545,0.7521582985818258,0.0214284088836261,0.8862093452634567,0.0022777242092577,0.3016485142040754,0.0194780053764227,0.6514875297874166,0.0052286924918802,0.7368797681359063,0.0079383751596679,,BPI20RfP,GPT-Neo-1.3B,0.8809 ± 0.0114,0.317 ± 0.0483,0.6718 ± 0.0147,0.7522 ± 0.0214,0.8862 ± 0.0023,0.3016 ± 0.0195,0.6515 ± 0.0052,0.7369 ± 0.0079,0.10915 ± 0.00100,"Freezing-[-1, -2]",,,
BPI20RequestForPayment,gptneo-1b3,8.0,2048.0,10.0,-1,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315696661.0,50472981.0,2.950604211387751,0.0515185187720894,1.9893435208587675,0.0022934255825968,0.862008237466269,0.0453052408144073,0.3795401096818055,0.1348155625540166,0.6834632210189046,0.0314941564416526,0.7495198565608923,0.0133463594223035,0.8852151682999574,0.0048739715879953,0.3115347595212135,0.0264815312254418,0.6574319508176959,0.007470880946803,0.7397037362056842,0.0068723499170511,,BPI20RfP,GPT-Neo-1.3B,0.862 ± 0.0453,0.3795 ± 0.1348,0.6835 ± 0.0315,0.7495 ± 0.0133,0.8852 ± 0.0049,0.3115 ± 0.0265,0.6574 ± 0.0075,0.7397 ± 0.0069,0.09724 ± 0.00065,Freezing-[-1],,,
BPI20RequestForPayment,gptneo-1b3,8.0,2048.0,10.0,"0,1",5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315696661.0,100825109.0,2.9805932402013204,0.0032998100830335,1.986928368487668,0.0031660930299644,0.8910666098565546,0.0004710445661632,0.2820840486053241,0.0056871303862308,0.7078400619801025,0.0381635001993346,0.7666708140799208,0.0192359393849917,0.8929981536713536,0.0011344255388561,0.2714321927613891,0.002208867718167,0.670806962443827,0.0147804587110436,0.7464923224214159,0.0102191451834918,,BPI20RfP,GPT-Neo-1.3B,0.8911 ± 0.0005,0.2821 ± 0.0057,0.7078 ± 0.0382,0.7667 ± 0.0192,0.893 ± 0.0011,0.2714 ± 0.0022,0.6708 ± 0.0148,0.7465 ± 0.0102,0.10981 ± 0.00026,"Freezing-[0, 1]",,,
BPI20RequestForPayment,gptneo-1b3,8.0,2048.0,10.0,0,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315696661.0,50472981.0,2.980549185800211,0.0024307087656105,1.9877712320466472,0.0025048267804874,0.890271268285755,0.0025889927025872,0.2798887703503724,0.0095029233023568,0.701788490148045,0.0259100427437892,0.7584725217611983,0.0178947554805971,0.8923448373810539,0.0010339596490953,0.2707464819925614,0.0036678777336045,0.6665523925909111,0.0108949180643479,0.7370568342226471,0.0070014961700074,,BPI20RfP,GPT-Neo-1.3B,0.8903 ± 0.0026,0.2799 ± 0.0095,0.7018 ± 0.0259,0.7585 ± 0.0179,0.8923 ± 0.001,0.2707 ± 0.0037,0.6666 ± 0.0109,0.7371 ± 0.007,0.09918 ± 0.00067,Freezing-[0],,,
BPI20RequestForPayment,gptneo-1b3,8.0,2048.0,10.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1340862485.0,25286677.0,2.98059028928367,0.0018783659850768,1.990092981713192,0.0008001260768646,0.888226104246556,0.0016348337499248,0.2923482561429747,0.0109664724458489,0.6715460336609602,0.003596102979946,0.7481197370857767,0.0115073930787355,0.8904132935662549,0.0016882499153096,0.2866843450443596,0.0060763872899226,0.6554777747307153,0.0078251601610774,0.7430972214026845,0.0090310611345501,,BPI20RfP,GPT-Neo-1.3B,0.8882 ± 0.0016,0.2923 ± 0.011,0.6715 ± 0.0036,0.7481 ± 0.0115,0.8904 ± 0.0017,0.2867 ± 0.0061,0.6555 ± 0.0078,0.7431 ± 0.009,0.10794 ± 0.00057,LoRA,256.0,128.0,
BPI20RequestForPayment,gptneo-1b3,8.0,2048.0,0.0,,5.0,2048.0,5e-05,1.0,lstm,sum,0.1,5.0,1315696661.0,120853.0,1.6738227384673865,0.0859941786895783,1.6150327479700786,0.0900167406880578,0.0527197841215736,0.0705637995431678,3.830855792944548,0.4670838477043389,3.105767722956719,1.8905688828385825,4.6292670389854536,2.079785338391841,0.0527197841215736,0.0705637995431678,3.830855792944548,0.4670838477043389,3.105767722956719,1.8905688828385825,4.6292670389854536,2.079785338391841,,BPI20RfP,GPT-Neo-1.3B,0.0527 ± 0.0706,3.8309 ± 0.4671,3.1058 ± 1.8906,4.6293 ± 2.0798,0.0527 ± 0.0706,3.8309 ± 0.4671,3.1058 ± 1.8906,4.6293 ± 2.0798,0.00120 ± 0.00001,ZeroShot,,,
BPI20RequestForPayment,gpt2,8.0,768.0,10.0,,5.0,768.0,5e-05,1.0,lstm,sum,0.1,5.0,124485141.0,45333.0,1.9745836772134324,0.0545219538266701,1.9075580199438729,0.0503179417504868,0.0601050987075699,0.0681382028654014,3.1852046485990817,0.3015019363804513,1.1994345731211054,0.1514722999090066,1.6092082411131217,0.7510519891676705,0.0629456043175685,0.068288274525955,3.1852046485990817,0.3015019363804513,1.17724731704285,0.1453280737605345,1.6092082411131217,0.7510519891676705,,BPI20RfP,GPT2,0.0601 ± 0.0681,3.1852 ± 0.3015,1.1994 ± 0.1515,1.6092 ± 0.7511,0.0629 ± 0.0683,3.1852 ± 0.3015,1.1772 ± 0.1453,1.6092 ± 0.7511,0.00908 ± 0.00084,FewShot-Freezing,,,8.0
